Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,1467.969971,1471.77002,1442.069946,1447.160034,1447.160034,3452650000
2008-01-03,1447.550049,1456.800049,1443.72998,1447.160034,1447.160034,3429500000
2008-01-04,1444.01001,1444.01001,1411.189941,1411.630005,1411.630005,4166000000
2008-01-07,1414.069946,1423.869995,1403.449951,1416.180054,1416.180054,4221260000
2008-01-08,1415.709961,1430.280029,1388.300049,1390.189941,1390.189941,4705390000
2008-01-09,1390.25,1409.189941,1378.699951,1409.130005,1409.130005,5351030000
2008-01-10,1406.780029,1429.089966,1395.310059,1420.329956,1420.329956,5170490000
2008-01-11,1419.910034,1419.910034,1394.829956,1401.02002,1401.02002,4495840000
2008-01-14,1402.910034,1417.890015,1402.910034,1416.25,1416.25,3682090000
2008-01-15,1411.880005,1411.880005,1380.599976,1380.949951,1380.949951,4601640000
2008-01-16,1377.410034,1391.98999,1364.27002,1373.199951,1373.199951,5440620000
2008-01-17,1374.790039,1377.719971,1330.670044,1333.25,1333.25,5303130000
2008-01-18,1333.900024,1350.280029,1312.51001,1325.189941,1325.189941,6004840000
2008-01-22,1312.939941,1322.089966,1274.290039,1310.5,1310.5,6544690000
2008-01-23,1310.410034,1339.089966,1270.050049,1338.599976,1338.599976,3241680000
2008-01-24,1340.130005,1355.150024,1334.310059,1352.069946,1352.069946,5735300000
2008-01-25,1357.319946,1368.560059,1327.5,1330.609985,1330.609985,4882250000
2008-01-28,1330.699951,1353.969971,1322.26001,1353.959961,1353.959961,4100930000
2008-01-29,1355.939941,1364.930054,1350.189941,1362.300049,1362.300049,4232960000
2008-01-30,1362.219971,1385.859985,1352.949951,1355.810059,1355.810059,4742760000
2008-01-31,1351.97998,1385.619995,1334.079956,1378.550049,1378.550049,4970290000
2008-02-01,1378.599976,1396.02002,1375.930054,1395.420044,1395.420044,4650770000
2008-02-04,1395.380005,1395.380005,1379.689941,1380.819946,1380.819946,3495780000
2008-02-05,1380.280029,1380.280029,1336.640015,1336.640015,1336.640015,4315740000
2008-02-06,1339.47998,1351.959961,1324.339966,1326.449951,1326.449951,4008120000
2008-02-07,1324.01001,1347.160034,1316.75,1336.910034,1336.910034,4589160000
2008-02-08,1336.880005,1341.219971,1321.060059,1331.290039,1331.290039,3768490000
2008-02-11,1331.920044,1341.400024,1320.319946,1339.130005,1339.130005,3593140000
2008-02-12,1340.550049,1362.099976,1339.359985,1348.859985,1348.859985,4044640000
2008-02-13,1353.119995,1369.22998,1350.780029,1367.209961,1367.209961,3856420000
2008-02-14,1367.329956,1368.160034,1347.310059,1348.859985,1348.859985,3644760000
2008-02-15,1347.52002,1350,1338.130005,1349.98999,1349.98999,3583300000
2008-02-19,1355.859985,1367.280029,1345.050049,1348.780029,1348.780029,3613550000
2008-02-20,1348.390015,1363.709961,1336.550049,1360.030029,1360.030029,3870520000
2008-02-21,1362.209961,1367.939941,1339.339966,1342.530029,1342.530029,3696660000
2008-02-22,1344.219971,1354.300049,1327.040039,1353.109985,1353.109985,3572660000
2008-02-25,1352.75,1374.359985,1346.030029,1371.800049,1371.800049,3866350000
2008-02-26,1371.76001,1387.339966,1363.290039,1381.290039,1381.290039,4096060000
2008-02-27,1378.949951,1388.339966,1372,1380.02002,1380.02002,3904700000
2008-02-28,1378.160034,1378.160034,1363.160034,1367.680054,1367.680054,3938580000
2008-02-29,1364.069946,1364.069946,1325.420044,1330.630005,1330.630005,4426730000
2008-03-03,1330.449951,1335.130005,1320.040039,1331.339966,1331.339966,4117570000
2008-03-04,1329.579956,1331.030029,1307.390015,1326.75,1326.75,4757180000
2008-03-05,1327.689941,1344.189941,1320.219971,1333.699951,1333.699951,4277710000
2008-03-06,1332.199951,1332.199951,1303.420044,1304.339966,1304.339966,4323460000
2008-03-07,1301.530029,1313.23999,1282.430054,1293.369995,1293.369995,4565410000
2008-03-10,1293.160034,1295.01001,1272.660034,1273.369995,1273.369995,4261240000
2008-03-11,1274.400024,1320.650024,1274.400024,1320.650024,1320.650024,5109080000
2008-03-12,1321.130005,1333.26001,1307.859985,1308.77002,1308.77002,4414280000
2008-03-13,1305.26001,1321.680054,1282.109985,1315.47998,1315.47998,5073360000
2008-03-14,1316.050049,1321.469971,1274.859985,1288.140015,1288.140015,5153780000
2008-03-17,1283.209961,1287.5,1256.97998,1276.599976,1276.599976,5683010000
2008-03-18,1277.160034,1330.73999,1277.160034,1330.73999,1330.73999,5335630000
2008-03-19,1330.969971,1341.51001,1298.420044,1298.420044,1298.420044,5358550000
2008-03-20,1299.670044,1330.670044,1295.219971,1329.51001,1329.51001,6145220000
2008-03-24,1330.290039,1359.680054,1330.290039,1349.880005,1349.880005,4499000000
2008-03-25,1349.069946,1357.469971,1341.209961,1352.98999,1352.98999,4145120000
2008-03-26,1352.449951,1352.449951,1336.410034,1341.130005,1341.130005,4055670000
2008-03-27,1340.339966,1345.619995,1325.660034,1325.76001,1325.76001,4037930000
2008-03-28,1327.02002,1334.869995,1312.949951,1315.219971,1315.219971,3686980000
2008-03-31,1315.920044,1328.52002,1312.810059,1322.699951,1322.699951,4188990000
2008-04-01,1326.410034,1370.180054,1326.410034,1370.180054,1370.180054,4745120000
2008-04-02,1369.959961,1377.949951,1361.550049,1367.530029,1367.530029,4320440000
2008-04-03,1365.689941,1375.660034,1358.680054,1369.310059,1369.310059,3920100000
2008-04-04,1369.849976,1380.910034,1362.829956,1370.400024,1370.400024,3703100000
2008-04-07,1373.689941,1386.73999,1369.02002,1372.540039,1372.540039,3747780000
2008-04-08,1370.160034,1370.160034,1360.619995,1365.540039,1365.540039,3602500000
2008-04-09,1365.5,1368.390015,1349.969971,1354.48999,1354.48999,3556670000
2008-04-10,1355.369995,1367.23999,1350.109985,1360.550049,1360.550049,3686150000
2008-04-11,1357.97998,1357.97998,1331.209961,1332.829956,1332.829956,3723790000
2008-04-14,1332.199951,1335.640015,1326.160034,1328.319946,1328.319946,3565020000
2008-04-15,1331.719971,1337.719971,1324.349976,1334.430054,1334.430054,3581230000
2008-04-16,1337.02002,1365.48999,1337.02002,1364.709961,1364.709961,4260370000
2008-04-17,1363.369995,1368.599976,1357.25,1365.560059,1365.560059,3713880000
2008-04-18,1369,1395.900024,1369,1390.329956,1390.329956,4222380000
2008-04-21,1387.719971,1390.22998,1379.25,1388.170044,1388.170044,3420570000
2008-04-22,1386.430054,1386.430054,1369.839966,1375.939941,1375.939941,3821900000
2008-04-23,1378.400024,1387.869995,1372.23999,1379.930054,1379.930054,4103610000
2008-04-24,1380.52002,1397.719971,1371.089966,1388.819946,1388.819946,4461660000
2008-04-25,1387.880005,1399.109985,1379.97998,1397.839966,1397.839966,3891150000
2008-04-28,1397.959961,1402.900024,1394.400024,1396.369995,1396.369995,3607000000
2008-04-29,1395.609985,1397,1386.699951,1390.939941,1390.939941,3815320000
2008-04-30,1391.219971,1404.569946,1384.25,1385.589966,1385.589966,4508890000
2008-05-01,1385.969971,1410.069946,1383.069946,1409.339966,1409.339966,4448780000
2008-05-02,1409.160034,1422.719971,1406.25,1413.900024,1413.900024,3953030000
2008-05-05,1415.339966,1415.339966,1404.369995,1407.48999,1407.48999,3410090000
